时间,商品名称,前销量,现销量,变化量
2025-10-23 08:47:03,[テレビ電話サイン会] (LEW) TEMPEST - ミニアルバム7集 [As I am]0,-13,-23,-10
2025-10-23 09:23:58,[テレビ電話サイン会] (EUNCHAN) TEMPEST - ミニアルバム7集 [As I am]0,-45,-51,-6
2025-10-23 10:20:51,[テレビ電話サイン会] (HANBIN) TEMPEST - ミニアルバム7集 [As I am]0,-29,-55,-26
2025-10-23 10:20:58,[テレビ電話サイン会] (LEW) TEMPEST - ミニアルバム7集 [As I am]0,-23,-14,9
2025-10-23 10:42:34,[テレビ電話サイン会] (HYEONGSEOP) TEMPEST - ミニアルバム7集 [As I am]0,-21,0,21
2025-10-23 10:42:41,[テレビ電話サイン会] (TAERAE) TEMPEST - ミニアルバム7集 [As I am]0,-9,-22,-13
2025-10-23 11:12:41,[テレビ電話サイン会] (TAERAE) TEMPEST - ミニアルバム7集 [As I am],-9,6,13,-10
